Admin_name,Full_id,Admin_id,2009,1999,1989
Vale,10101160149,160149,33,16,13
Vila Fonche,10101160150,160150,6,10,6
Vilela,10101160151,160151,22,18,11
Caminha,101011602,011602,328,392,543
Âncora,10101160201,160201,13,20,27
Arga de Baixo,10101160202,160202,10,16,24
Arga de Cima,10101160203,160203,12,15,17
Arga de São João,10101160204,160204,7,9,11
Argela,10101160205,160205,24,24,54
Azevedo,10101160206,160206,9,12,20
Caminha (Matriz),10101160207,160207,0,0,1
Cristelo,10101160208,160208,3,3,4
Dem,10101160209,160209,32,48,60
Gondar,10101160210,160210,36,31,16
Lanhelas,10101160211,160211,7,15,40
Moledo,10101160212,160212,5,7,17
Orbacém,10101160213,160213,29,22,13
Riba de Âncora,10101160214,160214,37,49,41
Seixas,10101160215,160215,5,7,12
Venade,10101160216,160216,38,35,60
Vila Praia de Âncora,10101160217,160217,15,21,36
Vilar de Mouros,10101160218,160218,24,30,46
Vilarelho,10101160219,160219,13,16,27
Vile,10101160220,160220,9,12,17
Melgaço,101011603,011603,710,711,726
Alvaredo,10101160301,160301,75,48,31
Castro Laboreiro,10101160302,160302,80,105,225
Chaviães,10101160303,160303,20,18,16
Cousso,10101160304,160304,18,27,17
Cristoval,10101160305,160305,20,21,33
Cubalhão,10101160306,160306,15,23,27
Fiães,10101160307,160307,28,38,28
Gave,10101160308,160308,18,25,20
Lamas de Mouro,10101160309,160309,11,19,19
Paços,10101160310,160310,18,17,17
Paderne,10101160311,160311,127,110,83
Parada do Monte,10101160312,160312,33,50,11
Penso,10101160313,160313,56,40,31
Prado,10101160314,160314,43,34,32
Remoães,10101160315,160315,22,20,13
Roussas,10101160316,160316,54,43,54
São Paio,10101160317,160317,52,58,55
Vila,10101160318,160318,20,15,14
Monção,101011604,011604,1539,1242,1050
Abedim,10101160401,160401,22,29,16
Anhões,10101160402,160402,27,32,24
Badim,10101160403,160403,21,13,9
Barbeita,10101160404,160404,91,87,64
Barroças e Taias,10101160405,160405,46,35,36
Bela,10101160406,160406,53,43,44
Cambeses,10101160407,160407,41,30,22
Ceivães,10101160408,160408,52,34,27
Lapela,10101160409,160409,20,16,11
Lara,10101160410,160410,45,41,28
Longos Vales,10101160411,160411,94,79,58
Lordelo,10101160412,160412,22,23,17
Luzio,10101160413,160413,22,21,10
Mazedo,10101160414,160414,83,59,146
Merufe,10101160415,160415,155,97,60
Messegães,10101160416,160416,18,15,11
Monção,10101160417,160417,17,12,18
Moreira,10101160418,160418,60,55,43
Parada,10101160419,160419,12,17,14
Pias,10101160420,160420,102,104,81
Pinheiros,10101160421,160421,46,29,29
Podame,10101160422,160422,24,16,8
Portela,10101160423,160423,36,29,35
Riba de Mouro,10101160424,160424,75,49,58
Sá,10101160425,160425,22,23,15
Sago,10101160426,160426,36,26,21
Segude,10101160427,160427,43,30,14
Tangil,10101160428,160428,105,78,59
Troporiz,10101160429,160429,14,11,10
Troviscoso,10101160430,160430,36,28,25
Trute,10101160431,160431,32,31,19
Valadares,10101160432,160432,33,18,18
Cortes,10101160433,160433,34,32,0
Paredes de Coura,101011605,011605,480,392,315
Agualonga,10101160501,160501,22,18,8
Bico,10101160502,160502,20,16,8
Castanheira,10101160503,160503,22,15,17
Cossourado,10101160504,160504,17,12,15
Coura,10101160505,160505,27,27,14
Cristelo,10101160506,160506,15,14,8
Cunha,10101160507,160507,40,30,22
Ferreira,10101160508,160508,45,35,34
Formariz,10101160509,160509,17,23,25
Infesta,10101160510,160510,42,32,19
Insalde,10101160511,160511,38,30,36
Linhares,10101160512,160512,11,11,5
Mozelos,10101160513,160513,13,11,12
Padornelo,10101160514,160514,23,25,15
Parada,10101160515,160515,14,11,5
Paredes de Coura,10101160516,160516,14,10,11
Porreiras,10101160517,160517,10,10,11
Resende,10101160518,160518,19,14,17
Romarigães,10101160519,160519,10,14,6
Rubiães,10101160520,160520,41,25,17
Vascões,10101160521,160521,20,9,10
Ponte da Barca,101011606,011606,341,303,208
Azias,10101160601,160601,4,3,1
Boivães,10101160602,160602,26,17,9
Bravães,10101160603,160603,23,36,24
Britelo,10101160604,160604,17,12,8
Crasto,10101160605,160605,23,14,18
Cuide de Vila Verde,10101160606,160606,9,9,7
Entre Ambos-os-Rios,10101160607,160607,13,9,7
Ermida,10101160608,160608,8,5,1
Germil,10101160609,160609,2,2,1
Grovelas,10101160610,160610,9,4,4
Lavradas,10101160611,160611,34,58,37
Lindoso,10101160612,160612,30,31,19
Nogueira,10101160613,160613,8,5,7
Oleiros,10101160614,160614,12,14,12
Paço Vedro de Magalhães,10101160615,160615,6,4,3
Ponte da Barca,10101160616,160616,1,1,2
Ruivos,10101160617,160617,12,8,4
Touvedo (Salvador),10101160618,160618,4,1,3
Sampriz,10101160619,160619,19,13,3
Vila Chã (Santiago),10101160620,160620,3,4,5
Vila Chã (São João Baptista),10101160621,160621,20,18,7
Touvedo (São Lourenço),10101160622,160622,11,7,3
Vade (São Pedro),10101160623,160623,6,5,5
Vade (São Tomé),10101160624,160624,6,5,3
Vila Nova de Muía,10101160625,160625,35,18,15
Ponte de Lima,101011607,011607,1769,1735,1298
Anais,10101160701,160701,42,26,13
Arca,10101160702,160702,11,12,11
Arcos,10101160703,160703,66,69,53
Arcozelo,10101160704,160704,64,78,72
Ardegão,10101160705,160705,23,22,17
Bárrio,10101160706,160706,12,23,16
Beiral do Lima,10101160707,160707,39,28,12
Bertiandos,10101160708,160708,21,34,27
Boalhosa,10101160709,160709,6,5,2
Brandara,10101160710,160710,16,20,13
Cabaços,10101160711,160711,28,31,35
Cabração,10101160712,160712,10,10,4
Calheiros,10101160713,160713,44,38,32
Calvelo,10101160714,160714,36,40,22
Cepões,10101160715,160715,8,16,16
Correlhã,10101160716,160716,110,89,57
Estorãos,10101160717,160717,42,39,29
Facha,10101160718,160718,62,55,46
Feitosa,10101160719,160719,17,19,17
Fojo Lobal,10101160720,160720,20,21,8
Fontão,10101160721,160721,44,61,55
Fornelos,10101160722,160722,121,114,75
Freixo,10101160723,160723,35,41,35
Friastelas,10101160724,160724,34,32,27
Gaifar,10101160725,160725,17,23,29
Gandra,10101160726,160726,35,27,15
Gemieira,10101160727,160727,32,27,12
Gondufe,10101160728,160728,25,16,10
Labruja,10101160729,160729,24,26,11
Labrujó,10101160730,160730,9,4,1
Mato,10101160731,160731,32,24,18
Moreira do Lima,10101160732,160732,70,67,57
Navió,10101160733,160733,16,15,15
Poiares,10101160734,160734,60,74,67
Ponte de Lima,10101160735,160735,2,6,5
Queijada,10101160736,160736,12,9,8
Refóios do Lima,10101160737,160737,95,88,47
Rendufe,10101160738,160738,14,12,4
Ribeira,10101160739,160739,55,53,32
Sá,10101160740,160740,24,25,23
Sandiães,10101160741,160741,20,30,33
Santa Comba,10101160742,160742,11,15,19
Santa Cruz do Lima,10101160743,160743,17,13,8
Rebordões (Santa Maria),10101160744,160744,38,24,12
Seara,10101160745,160745,18,18,13
Serdedelo,10101160746,160746,36,28,13
Rebordões (Souto),10101160747,160747,37,30,22
Vilar das Almas,10101160748,160748,41,38,37
Vilar do Monte,10101160749,160749,7,4,0
Vitorino das Donas,10101160750,160750,34,42,35
Vitorino dos Piães,10101160751,160751,77,74,58
Valença,101011608,011608,553,499,447
Arão,10101160801,160801,7,14,11
Boivão,10101160802,160802,32,21,17
Cerdal,10101160803,160803,78,95,73
Cristelo Covo,10101160804,160804,8,4,11
Fontoura,10101160805,160805,64,47,46
Friestas,10101160806,160806,24,22,19
Gandra,10101160807,160807,38,33,32
Ganfei,10101160808,160808,67,39,31
Gondomil,10101160809,160809,49,39,27
Sanfins,10101160810,160810,11,12,5
São Julião,10101160811,160811,37,34,20
São Pedro da Torre,10101160812,160812,38,38,54
Silva,10101160813,160813,29,27,27
Taião,10101160814,160814,20,21,9
Valença,10101160815,160815,16,19,25
Verdoejo,10101160816,160816,35,34,40
Viana do Castelo,101011609,011609,1202,1552,1671
Afife,10101160901,160901,16,20,30
Alvarães,10101160902,160902,38,59,82
Amonde,10101160903,160903,14,16,6
Anha,10101160904,160904,25,36,39
Areosa,10101160905,160905,18,25,23
Barroselas,10101160906,160906,23,29,40
Cardielos,10101160907,160907,16,26,37
Carreço,10101160908,160908,40,36,49
Carvoeiro,10101160909,160909,40,43,28
Castelo do Neiva,10101160910,160910,21,33,48
Darque,10101160911,160911,3,6,11
Deão,10101160912,160912,33,53,44
Deocriste,10101160913,160913,18,21,16
Freixieiro de Soutelo,10101160914,160914,33,43,53
Lanheses,10101160915,160915,54,71,69
Mazarefes,10101160916,160916,27,35,26
Meadela,10101160917,160917,23,32,56
Meixedo,10101160918,160918,28,38,32
Viana do Castelo (Monserrate),10101160919,160919,0,0,2
Montaria,10101160920,160920,42,65,57
Moreira de Geraz do Lima,10101160921,160921,28,26,14
Mujães,10101160922,160922,15,16,23
Neiva,10101160923,160923,19,26,34
Nogueira,10101160924,160924,50,69,73
Outeiro,10101160925,160925,87,77,67
Perre,10101160926,160926,78,94,110
Portela Susã,10101160927,160927,26,29,14
Portuzelo,10101160928,160928,56,90,112
Geraz do Lima (Santa Leocádia),10101160929,160929,31,40,32
Geraz do Lima (Santa Maria),10101160930,160930,24,41,32
Viana do Castelo (Santa Maria Maior),10101160931,160931,3,3,7
Serreleis,10101160932,160932,20,31,38
Subportela,10101160933,160933,65,79,102
Torre,10101160934,160934,17,33,34
Vila Franca,10101160935,160935,58,62,69
Vila Fria,10101160936,160936,18,20,23
Vila Mou,10101160937,160937,29,42,32
Vila de Punhe,10101160938,160938,19,23,33
Vilar de Murteda,10101160939,160939,23,25,21
Chafé,10101160940,160940,24,39,53
Vila Nova de Cerveira,101011610,011610,213,224,291
Campos,10101161001,161001,31,37,62
Candemil,10101161002,161002,12,18,19
Cornes,10101161003,161003,20,18,25
Covas,10101161004,161004,22,21,35
Gondar,10101161005,161005,2,4,5
Gondarém,10101161006,161006,19,16,11
Loivo,10101161007,161007,7,6,7
Lovelhe,10101161008,161008,8,11,15
Mentrestido,10101161009,161009,12,16,7
Nogueira,10101161010,161010,10,14,18
Reboreda,10101161011,161011,22,21,32
Sapardos,10101161012,161012,20,15,28
Sopo,10101161013,161013,13,16,6
Vila Meã,10101161014,161014,13,10,17
Vila Nova de Cerveira,10101161015,161015,2,1,4
Cávado,10102,10102,5531,6413,6401
Amares,101020301,020301,370,399,247
Amares,10102030101,030101,9,13,7
Barreiros,10102030102,030102,21,13,11
Besteiros,10102030103,030103,12,17,3
Bico,10102030104,030104,5,14,11
Caires,10102030105,030105,26,32,20
Caldelas,10102030106,030106,12,8,7
Carrazedo,10102030107,030107,22,25,17
Dornelas,10102030108,030108,25,28,13
Ferreiros,10102030109,030109,15,21,15
Figueiredo,10102030110,030110,14,21,8
Fiscal,10102030111,030111,27,23,15
Goães,10102030112,030112,20,22,17
Lago,10102030113,030113,12,14,17
Paranhos,10102030114,030114,11,7,3
Paredes Secas,10102030115,030115,11,9,6
Portela,10102030116,030116,4,7,4
Prozelo,10102030117,030117,13,17,13
Rendufe,10102030118,030118,18,20,12
Bouro (Santa Maria),10102030119,030119,21,26,18
Bouro (Santa Marta),10102030120,030120,26,19,6
Sequeiros,10102030121,030121,11,7,6
Seramil,10102030122,030122,13,16,2
Torre,10102030123,030123,8,9,8
Vilela,10102030124,030124,14,11,8
Barcelos,101020302,020302,2304,2941,3205
Abade de Neiva,10102030201,030201,45,42,47
Aborim,10102030202,030202,18,22,18
Adães,10102030203,030203,18,18,28
Aguiar,10102030204,030204,13,23,23
Airó,10102030205,030205,29,24,22
Aldreu,10102030206,030206,23,32,24
Alheira,10102030207,030207,34,48,53
Alvelos,10102030208,030208,28,42,55
Arcozelo,10102030209,030209,8,13,13
Areias,10102030210,030210,7,7,11
Areias de Vilar,10102030211,030211,21,33,22
Balugães,10102030212,030212,19,22,29
Barcelinhos,10102030213,030213,10,13,25
Barcelos,10102030214,030214,0,0,0
Barqueiros,10102030215,030215,48,78,81
Cambeses,10102030216,030216,29,33,47
Campo,10102030217,030217,22,26,29
Carapeços,10102030218,030218,30,55,47
Carreira,10102030219,030219,40,58,68
Carvalhal,10102030220,030220,20,27,42
Carvalhos,10102030221,030221,20,17,17
Chavão,10102030222,030222,22,35,39
Chorente,10102030223,030223,35,51,65
Cossourado,10102030224,030224,34,43,39
Courel,10102030225,030225,35,51,41
Couto,10102030226,030226,13,17,9
Creixomil,10102030227,030227,38,37,42
Cristelo,10102030228,030228,75,96,148
Durrães,10102030229,030229,5,14,18
Encourados,10102030230,030230,14,26,11
Faria,10102030231,030231,29,34,45
Feitos,10102030232,030232,6,8,12
Fonte Coberta,10102030233,030233,10,13,13
Fornelos,10102030234,030234,37,44,43
Fragoso,10102030235,030235,42,69,59
Gamil,10102030236,030236,11,19,14
Gilmonde,10102030237,030237,33,39,54
Góios,10102030238,030238,27,32,41
Grimancelos,10102030239,030239,17,23,34
Gueral,10102030240,030240,23,37,45
Igreja Nova,10102030241,030241,11,14,18
Lama,10102030242,030242,13,16,18
Lijó,10102030243,030243,43,41,32
Macieira de Rates,10102030244,030244,76,96,129
Manhente,10102030245,030245,18,18,21
Mariz,10102030246,030246,9,12,17
Martim,10102030247,030247,24,35,26
Midões,10102030248,030248,9,11,5
Milhazes,10102030249,030249,29,31,46
Minhotães,10102030250,030250,33,42,41
Monte de Fralães,10102030251,030251,9,11,9
Moure,10102030252,030252,24,20,23
Negreiros,10102030253,030253,49,65,81
Oliveira,10102030254,030254,28,38,31
Palme,10102030255,030255,39,47,41
Panque,10102030256,030256,36,45,44
Paradela,10102030257,030257,61,62,62
Pedra Furada,10102030258,030258,16,18,21
Pereira,10102030259,030259,21,23,47
Perelhal,10102030260,030260,38,44,54
Pousa,10102030261,030261,36,41,53
Quintiães,10102030262,030262,31,37,21
Remelhe,10102030263,030263,33,52,47
Roriz,10102030264,030264,62,73,72
Rio Covo (Santa Eugénia),10102030265,030265,16,18,18
Rio Covo (Santa Eulália),10102030266,030266,21,20,17
Tamel (Santa Leocádia),10102030267,030267,37,25,31
Galegos (Santa Maria),10102030268,030268,17,26,13
Bastuço (Santo Estêvão),10102030269,030269,16,16,22
Bastuço (São João),10102030270,030270,17,16,29
Alvito (São Martinho),10102030271,030271,13,12,17
Galegos (São Martinho),10102030272,030272,9,11,21
Vila Frescainha (São Martinho),10102030273,030273,18,20,38
Alvito (São Pedro),10102030274,030274,27,25,27
Vila Frescainha (São Pedro),10102030275,030275,13,19,28
Tamel (São Pedro Fins),10102030276,030276,10,15,13
Tamel (São Veríssimo),10102030277,030277,11,12,15
Sequeade,10102030278,030278,20,29,23
Silva,10102030279,030279,20,23,22
Silveiros,10102030280,030280,28,39,47
Tregosa,10102030281,030281,10,13,12
Ucha,10102030282,030282,25,42,36
Várzea,10102030283,030283,25,23,18
Viatodos,10102030284,030284,48,56,70
Vila Boa,10102030285,030285,9,11,9
Vila Cova,10102030286,030286,60,103,87
Vila Seca,10102030287,030287,48,90,104
Vilar de Figos,10102030288,030288,31,37,35
Vilar do Monte,10102030289,030289,19,27,21
Braga,101020303,020303,795,928,942
Adaúfe,10102030301,030301,41,45,53
Arcos,10102030302,030302,8,14,17
Arentim,10102030303,030303,19,27,24
Aveleda,10102030304,030304,14,14,15
Cabreiros,10102030305,030305,18,18,19
Celeirós,10102030306,030306,5,9,11
Braga (Cividade),10102030307,030307,0,0,0
Crespos,10102030308,030308,32,21,24
Cunha,10102030309,030309,21,27,17
Dume,10102030310,030310,17,32,37
Escudeiros,10102030311,030311,16,17,17
Espinho,10102030312,030312,25,24,24
Esporões,10102030313,030313,20,32,11
Ferreiros,10102030314,030314,8,13,18
Figueiredo,10102030315,030315,7,16,4
Fraião,10102030316,030316,1,4,9
Frossos,10102030317,030317,5,10,9
Gondizalves,10102030318,030318,9,7,10
Gualtar,10102030319,030319,2,6,9
Guisande,10102030320,030320,1,5,7
Lamaçães,10102030321,030321,3,7,9
Lamas,10102030322,030322,11,17,14
Lomar,10102030323,030323,15,19,14
Braga (Maximinos),10102030324,030324,5,10,5
Mire de Tibães,10102030325,030325,27,24,26
Morreira,10102030326,030326,16,15,17
Navarra,10102030327,030327,9,10,7
Nogueira,10102030328,030328,6,19,16
Nogueiró,10102030329,030329,3,3,10
Padim da Graça,10102030330,030330,11,17,13
Palmeira,10102030331,030331,32,31,39
Panoias,10102030332,030332,7,11,13
Parada de Tibães,10102030333,030333,13,18,18
Pedralva,10102030334,030334,30,37,40
Pousada,10102030335,030335,19,16,12
Priscos,10102030336,030336,20,16,22
Real,10102030337,030337,5,6,6
Ruilhe,10102030338,030338,12,19,18
Santa Lucrécia de Algeriz,10102030339,030339,7,15,10
Penso (Santo Estêvão),10102030340,030340,12,17,10
Braga (São João do Souto),10102030341,030341,0,0,0
Braga (São José de São Lázaro),10102030342,030342,0,0,1
Passos (São Julião),10102030343,030343,21,21,18
Este (São Mamede),10102030344,030344,22,19,18
Merelim (São Paio),10102030345,030345,15,5,21
Este (São Pedro),10102030346,030346,9,6,10
Merelim (São Pedro),10102030347,030347,16,24,21
Oliveira (São Pedro),10102030348,030348,13,17,11
Braga (São Vicente),10102030349,030349,0,1,9
Penso (São Vicente),10102030350,030350,9,7,11
Braga (São Vítor),10102030351,030351,1,1,11
Braga (Sé),10102030352,030352,0,0,0
Semelhe,10102030353,030353,22,17,15
Sequeira,10102030354,030354,30,36,29
Sobreposta,10102030355,030355,28,27,35
Tadim,10102030356,030356,6,8,20
Tebosa,10102030357,030357,14,15,12
Tenões,10102030358,030358,8,8,5
Trandeiras,10102030359,030359,15,16,16
Vilaça,10102030360,030360,10,9,7
Vimieiro,10102030361,030361,14,15,18
Fradelos,10102030362,030362,10,8,0
Esposende,101020306,020306,720,901,1026
Antas,10102030601,030601,30,42,34
Apúlia,10102030602,030602,163,196,308
Belinho,10102030603,030603,50,51,48
Curvos,10102030604,030604,18,24,30
Esposende,10102030605,030605,1,0,8
Fão,10102030606,030606,11,12,13
Fonte Boa,10102030607,030607,100,100,126
Forjães,10102030608,030608,49,51,65
Gandra,10102030609,030609,51,61,71
Gemeses,10102030610,030610,42,59,76
Mar,10102030611,030611,32,29,33
Marinhas,10102030612,030612,62,148,91
Palmeira de Faro,10102030613,030613,44,53,59
Rio Tinto,10102030614,030614,34,46,46
Vila Chã,10102030615,030615,33,29,18
Terras de Bouro,101020310,020310,248,218,159
Balança,10102031001,031001,16,18,10
Brufe,10102031002,031002,4,3,2
Campo do Gerês,10102031003,031003,3,7,7
Carvalheira,10102031004,031004,18,13,5
Chamoim,10102031005,031005,22,20,18
Chorense,10102031006,031006,14,12,8
Cibões,10102031007,031007,15,15,5
Covide,10102031008,031008,20,22,12
Gondoriz,10102031009,031009,16,6,3
Moimenta,10102031010,031010,7,8,5
Monte,10102031011,031011,25,22,31
Ribeira,10102031012,031012,7,3,1
Rio Caldo,10102031013,031013,18,17,12
Souto,10102031014,031014,17,10,5
Valdosende,10102031015,031015,18,24,20
Vilar,10102031016,031016,10,4,2
Vilar da Veiga,10102031017,031017,18,14,13
Vila Verde,101020313,020313,1094,1026,822
Aboim da Nóbrega,10102031301,031301,26,27,18
Arcozelo,10102031302,031302,23,14,15
Atães,10102031303,031303,10,7,12
Atiães,10102031304,031304,28,23,16
Azões,10102031305,031305,5,4,4
Barbudo,10102031306,031306,27,33,32
Barros,10102031307,031307,6,10,3
Cabanelas,10102031308,031308,39,32,29
Cervães,10102031309,031309,34,41,45
Codeceda,10102031310,031310,14,7,8
Coucieiro,10102031311,031311,24,20,16
Covas,10102031312,031312,10,15,13
Dossãos,10102031313,031313,24,33,16
Duas Igrejas,10102031314,031314,74,62,29
Esqueiros,10102031315,031315,8,7,11
Freiriz,10102031316,031316,35,35,36
Geme,10102031317,031317,14,13,12
Goães,10102031318,031318,21,22,13
Godinhaços,10102031319,031319,25,19,9
Gomide,10102031320,031320,5,4,5
Gondiães,10102031321,031321,11,10,8
Gondomar,10102031322,031322,9,6,2
Laje,10102031323,031323,30,29,42
Lanhas,10102031324,031324,17,14,11
Loureira,10102031325,031325,8,12,14
Marrancos,10102031326,031326,17,15,11
Mós,10102031327,031327,7,7,7
Moure,10102031328,031328,24,26,31
Nevogilde,10102031329,031329,12,9,8
Oleiros,10102031330,031330,19,14,17
Parada de Gatim,10102031331,031331,23,27,22
Passó,10102031332,031332,4,10,6
Pedregais,10102031333,031333,19,17,12
Penascais,10102031334,031334,19,12,6
Pico,10102031335,031335,25,24,18
Pico de Regalados,10102031336,031336,17,18,19
Ponte,10102031337,031337,13,14,13
Portela das Cabras,10102031338,031338,9,5,5
Rio Mau,10102031339,031339,22,14,11
Sabariz,10102031340,031340,8,9,6
Sande,10102031341,031341,23,19,12
Vila de Prado,10102031342,031342,35,28,29
Oriz (Santa Marinha),10102031343,031343,20,16,3
Carreiras (Santiago),10102031344,031344,17,12,8
Escariz (São Mamede),10102031345,031345,31,45,22
Escariz (São Martinho),10102031346,031346,14,15,12
Valbom (São Martinho),10102031347,031347,7,6,3
Carreiras (São Miguel),10102031348,031348,18,25,24
Oriz (São Miguel),10102031349,031349,13,9,10
Prado (São Miguel),10102031350,031350,28,21,10
Valbom (São Pedro),10102031351,031351,9,9,4
Soutelo,10102031352,031352,31,20,22
Travassós,10102031353,031353,9,5,5
Turiz,10102031354,031354,17,17,9
Valdreu,10102031355,031355,24,23,11
Valões,10102031356,031356,18,18,11
Vila Verde,10102031357,031357,10,11,13
Vilarinho,10102031358,031358,5,7,3
Ave,10103,10103,3591,3951,3963
Fafe,101030307,030307,453,414,298
Aboim,10103030701,030701,10,6,3
Agrela,10103030702,030702,4,7,3
Antime,10103030703,030703,9,13,9
Ardegão,10103030704,030704,3,4,3
Armil,10103030705,030705,11,6,4
Arnozela,10103030706,030706,4,4,7
Cepães,10103030707,030707,16,15,11
Estorãos,10103030708,030708,16,10,7
Fafe,10103030709,030709,12,9,7
Fareja,10103030710,030710,11,7,18
Felgueiras,10103030711,030711,3,2,0
Fornelos,10103030712,030712,5,8,10
Freitas,10103030713,030713,17,19,13
Golães,10103030714,030714,10,12,9
Gontim,10103030715,030715,9,10,5
Medelo,10103030716,030716,3,5,5
Monte,10103030717,030717,16,14,13
Moreira do Rei,10103030718,030718,24,29,9
Passos,10103030719,030719,4,6,4
Pedraído,10103030720,030720,10,6,4
Queimadela,10103030721,030721,22,18,7
Quinchães,10103030722,030722,17,11,3
Regadas,10103030723,030723,20,18,7
Revelhe,10103030724,030724,29,21,10
Ribeiros,10103030725,030725,6,2,4
Arões (Santa Cristina),10103030726,030726,6,5,8
Silvares (São Clemente),10103030727,030727,4,4,5
São Gens,10103030728,030728,47,28,20
Silvares (São Martinho),10103030729,030729,10,8,6
Arões (São Romão),10103030730,030730,7,22,14
Seidões,10103030731,030731,13,12,7
Serafão,10103030732,030732,21,29,21
Travassós,10103030733,030733,27,18,19
Várzea Cova,10103030734,030734,12,11,11
Vila Cova,10103030735,030735,8,11,9
Vinhós,10103030736,030736,7,4,3
Guimarães,101030308,030308,710,828,1039
Aldão,10103030801,030801,7,8,14
Arosa,10103030802,030802,6,13,12
Atães,10103030803,030803,20,19,30
Azurém,10103030804,030804,9,11,20
Balazar,10103030805,030805,8,11,15
Barco,10103030806,030806,8,7,12
Brito,10103030807,030807,14,11,13
Caldelas,10103030808,030808,10,14,18
Calvos,10103030809,030809,3,2,5
Castelões,10103030810,030810,10,14,6
Conde,10103030811,030811,5,3,7
Costa,10103030812,030812,6,8,14
Creixomil,10103030813,030813,10,20,17
Donim,10103030814,030814,4,9,12
Fermentões,10103030815,030815,22,22,27
Figueiredo,10103030816,030816,6,7,6
Gandarela,10103030817,030817,6,2,2
Gémeos,10103030818,030818,4,11,14
Gominhães,10103030819,030819,10,11,17
Gonça,10103030820,030820,12,15,15
Gondar,10103030821,030821,9,7,8
Gondomar,10103030822,030822,8,8,7
Guardizela,10103030823,030823,14,14,17
Infantas,10103030824,030824,12,8,16
Infias,10103030825,030825,0,0,9
Leitões,10103030826,030826,17,20,15
Longos,10103030827,030827,19,34,37
Lordelo,10103030828,030828,9,15,19
Mascotelos,10103030829,030829,4,8,1
Mesão Frio,10103030830,030830,9,12,13
Moreira de Cónegos,10103030831,030831,7,11,19
Nespereira,10103030832,030832,5,5,7
Oleiros,10103030833,030833,10,13,10
Guimarães (Oliveira do Castelo),10103030834,030834,1,0,0
Pencelo,10103030835,030835,11,7,8
Pinheiro,10103030836,030836,6,11,7
Polvoreira,10103030837,030837,8,8,7
Ponte,10103030838,030838,26,22,36
Rendufe,10103030839,030839,3,7,17
Ronfe,10103030840,030840,19,19,20
Briteiros (Salvador),10103030841,030841,9,17,13
Prazins (Santa Eufémia),10103030842,030842,8,5,14
Briteiros (Santa Leocádia),10103030843,030843,20,19,29
Airão (Santa Maria),10103030844,030844,14,13,13
Souto (Santa Maria),10103030845,030845,6,6,5
Candoso (Santiago),10103030846,030846,14,11,16
Briteiros (Santo Estêvão),10103030847,030847,5,12,16
Prazins (Santo Tirso),10103030848,030848,11,7,13
Sande (São Clemente),10103030849,030849,24,33,30
Selho (São Cristóvão),10103030850,030850,3,4,9
São Faustino,10103030851,030851,13,22,25
Caldas de Vizela (São João),10103030852,030852,0,0,6
Airão (São João Baptista),10103030853,030853,10,7,10
Selho (São Jorge),10103030854,030854,13,13,17
Sande (São Lourenço),10103030855,030855,13,17,17
Selho (São Lourenço),10103030856,030856,10,4,11
Candoso (São Martinho),10103030857,030857,12,15,17
Sande (São Martinho),10103030858,030858,14,25,30
Caldas de Vizela (São Miguel),10103030859,030859,0,0,11
