Admin_name,Full_id,Admin_id,2009,1999,1989
Formariz,10101160509,160509,27,56,125
Infesta,10101160510,160510,48,60,128
Insalde,10101160511,160511,64,74,127
Linhares,10101160512,160512,19,28,34
Mozelos,10101160513,160513,16,32,66
Padornelo,10101160514,160514,57,61,116
Parada,10101160515,160515,28,54,70
Paredes de Coura,10101160516,160516,21,23,96
Porreiras,10101160517,160517,14,24,30
Resende,10101160518,160518,26,35,85
Romarigães,10101160519,160519,34,49,67
Rubiães,10101160520,160520,61,76,116
Vascões,10101160521,160521,24,36,56
Ponte da Barca,101011606,011606,763,1108,1683
Azias,10101160601,160601,56,66,88
Boivães,10101160602,160602,48,62,77
Bravães,10101160603,160603,39,71,109
Britelo,10101160604,160604,25,31,56
Crasto,10101160605,160605,43,43,93
Cuide de Vila Verde,10101160606,160606,16,33,59
Entre Ambos-os-Rios,10101160607,160607,22,57,96
Ermida,10101160608,160608,18,23,30
Germil,10101160609,160609,11,17,27
Grovelas,10101160610,160610,23,28,42
Lavradas,10101160611,160611,63,126,175
Lindoso,10101160612,160612,51,85,109
Nogueira,10101160613,160613,21,32,62
Oleiros,10101160614,160614,31,48,75
Paço Vedro de Magalhães,10101160615,160615,11,14,43
Ponte da Barca,10101160616,160616,2,4,10
Ruivos,10101160617,160617,25,29,34
Touvedo (Salvador),10101160618,160618,11,8,19
Sampriz,10101160619,160619,67,66,98
Vila Chã (Santiago),10101160620,160620,5,13,32
Vila Chã (São João Baptista),10101160621,160621,49,88,117
Touvedo (São Lourenço),10101160622,160622,18,19,41
Vade (São Pedro),10101160623,160623,14,25,30
Vade (São Tomé),10101160624,160624,15,33,47
Vila Nova de Muía,10101160625,160625,79,87,114
Ponte de Lima,101011607,011607,2121,3551,5467
Anais,10101160701,160701,72,120,168
Arca,10101160702,160702,10,17,17
Arcos,10101160703,160703,45,95,104
Arcozelo,10101160704,160704,61,118,213
Ardegão,10101160705,160705,20,31,33
Bárrio,10101160706,160706,18,40,65
Beiral do Lima,10101160707,160707,80,105,161
Bertiandos,10101160708,160708,6,24,59
Boalhosa,10101160709,160709,18,35,55
Brandara,10101160710,160710,17,41,66
Cabaços,10101160711,160711,43,91,133
Cabração,10101160712,160712,14,28,50
Calheiros,10101160713,160713,72,82,192
Calvelo,10101160714,160714,42,82,95
Cepões,10101160715,160715,15,46,88
Correlhã,10101160716,160716,117,221,265
Estorãos,10101160717,160717,16,91,119
Facha,10101160718,160718,64,113,187
Feitosa,10101160719,160719,13,28,57
Fojo Lobal,10101160720,160720,30,43,57
Fontão,10101160721,160721,10,48,81
Fornelos,10101160722,160722,137,190,273
Freixo,10101160723,160723,29,65,102
Friastelas,10101160724,160724,45,66,91
Gaifar,10101160725,160725,22,31,43
Gandra,10101160726,160726,60,72,161
Gemieira,10101160727,160727,52,58,86
Gondufe,10101160728,160728,53,63,94
Labruja,10101160729,160729,33,61,135
Labrujó,10101160730,160730,23,27,48
Mato,10101160731,160731,29,38,42
Moreira do Lima,10101160732,160732,74,118,182
Navió,10101160733,160733,19,27,37
Poiares,10101160734,160734,65,96,130
Ponte de Lima,10101160735,160735,4,7,11
Queijada,10101160736,160736,15,30,40
Refóios do Lima,10101160737,160737,154,241,350
Rendufe,10101160738,160738,27,43,61
Ribeira,10101160739,160739,81,111,184
Sá,10101160740,160740,5,31,50
Sandiães,10101160741,160741,18,42,66
Santa Comba,10101160742,160742,7,22,40
Santa Cruz do Lima,10101160743,160743,32,46,66
Rebordões (Santa Maria),10101160744,160744,64,77,137
Seara,10101160745,160745,11,39,43
Serdedelo,10101160746,160746,49,84,112
Rebordões (Souto),10101160747,160747,63,108,211
Vilar das Almas,10101160748,160748,21,51,61
Vilar do Monte,10101160749,160749,14,20,45
Vitorino das Donas,10101160750,160750,13,46,108
Vitorino dos Piães,10101160751,160751,119,142,193
Valença,101011608,011608,512,751,1284
Arão,10101160801,160801,4,18,43
Boivão,10101160802,160802,38,34,59
Cerdal,10101160803,160803,50,145,227
Cristelo Covo,10101160804,160804,9,8,38
Fontoura,10101160805,160805,86,71,113
Friestas,10101160806,160806,15,35,53
Gandra,10101160807,160807,39,58,98
Ganfei,10101160808,160808,41,63,121
Gondomil,10101160809,160809,57,64,79
Sanfins,10101160810,160810,21,23,40
São Julião,10101160811,160811,43,51,82
São Pedro da Torre,10101160812,160812,21,41,99
Silva,10101160813,160813,14,33,55
Taião,10101160814,160814,26,31,37
Valença,10101160815,160815,14,26,57
Verdoejo,10101160816,160816,34,50,83
Viana do Castelo,101011609,011609,936,1990,4188
Afife,10101160901,160901,3,8,43
Alvarães,10101160902,160902,16,65,168
Amonde,10101160903,160903,11,44,70
Anha,10101160904,160904,22,37,85
Areosa,10101160905,160905,10,12,62
Barroselas,10101160906,160906,24,39,231
Cardielos,10101160907,160907,9,22,53
Carreço,10101160908,160908,5,9,21
Carvoeiro,10101160909,160909,47,94,127
Castelo do Neiva,10101160910,160910,28,93,308
Darque,10101160911,160911,1,13,38
Deão,10101160912,160912,37,85,156
Deocriste,10101160913,160913,21,43,73
Freixieiro de Soutelo,10101160914,160914,32,49,90
Lanheses,10101160915,160915,10,51,112
Mazarefes,10101160916,160916,19,32,80
Meadela,10101160917,160917,16,32,97
Meixedo,10101160918,160918,23,52,73
Viana do Castelo (Monserrate),10101160919,160919,0,0,2
Montaria,10101160920,160920,31,102,151
Moreira de Geraz do Lima,10101160921,160921,2,37,45
Mujães,10101160922,160922,20,28,48
Neiva,10101160923,160923,13,37,85
Nogueira,10101160924,160924,35,67,142
Outeiro,10101160925,160925,89,107,162
Perre,10101160926,160926,79,98,161
Portela Susã,10101160927,160927,29,62,101
Portuzelo,10101160928,160928,49,108,173
Geraz do Lima (Santa Leocádia),10101160929,160929,42,97,180
Geraz do Lima (Santa Maria),10101160930,160930,28,69,147
Viana do Castelo (Santa Maria Maior),10101160931,160931,3,5,27
Serreleis,10101160932,160932,20,37,69
Subportela,10101160933,160933,30,94,147
Torre,10101160934,160934,6,22,37
Vila Franca,10101160935,160935,46,82,150
Vila Fria,10101160936,160936,9,28,74
Vila Mou,10101160937,160937,4,19,71
Vila de Punhe,10101160938,160938,17,26,142
Vilar de Murteda,10101160939,160939,25,36,57
Chafé,10101160940,160940,25,49,130
Vila Nova de Cerveira,101011610,011610,228,364,966
Campos,10101161001,161001,24,44,110
Candemil,10101161002,161002,16,27,55
Cornes,10101161003,161003,22,31,60
Covas,10101161004,161004,26,51,161
Gondar,10101161005,161005,5,12,51
Gondarém,10101161006,161006,13,23,76
Loivo,10101161007,161007,8,14,44
Lovelhe,10101161008,161008,7,11,25
Mentrestido,10101161009,161009,19,30,91
Nogueira,10101161010,161010,10,19,36
Reboreda,10101161011,161011,19,30,82
Sapardos,10101161012,161012,24,22,75
Sopo,10101161013,161013,19,35,65
Vila Meã,10101161014,161014,14,13,26
Vila Nova de Cerveira,10101161015,161015,2,2,9
Cávado,10102,10102,7395,11230,17670
Amares,101020301,020301,616,900,1460
Amares,10102030101,030101,14,15,29
Barreiros,10102030102,030102,38,47,61
Besteiros,10102030103,030103,19,27,22
Bico,10102030104,030104,12,22,37
Caires,10102030105,030105,41,49,78
Caldelas,10102030106,030106,23,31,96
Carrazedo,10102030107,030107,32,38,45
Dornelas,10102030108,030108,36,46,59
Ferreiros,10102030109,030109,22,27,49
Figueiredo,10102030110,030110,25,29,54
Fiscal,10102030111,030111,39,59,118
Goães,10102030112,030112,39,56,87
Lago,10102030113,030113,20,38,87
Paranhos,10102030114,030114,19,21,35
Paredes Secas,10102030115,030115,17,17,32
Portela,10102030116,030116,11,19,22
Prozelo,10102030117,030117,17,28,40
Rendufe,10102030118,030118,26,51,71
Bouro (Santa Maria),10102030119,030119,27,83,113
Bouro (Santa Marta),10102030120,030120,41,58,88
Sequeiros,10102030121,030121,20,32,63
Seramil,10102030122,030122,28,38,48
Torre,10102030123,030123,17,31,76
Vilela,10102030124,030124,33,38,50
Barcelos,101020302,020302,2625,3938,6441
Abade de Neiva,10102030201,030201,51,59,72
Aborim,10102030202,030202,18,30,41
Adães,10102030203,030203,28,33,45
Aguiar,10102030204,030204,16,36,78
Airó,10102030205,030205,37,46,69
Aldreu,10102030206,030206,14,36,64
Alheira,10102030207,030207,36,67,105
Alvelos,10102030208,030208,27,46,84
Arcozelo,10102030209,030209,10,16,18
Areias,10102030210,030210,8,12,23
Areias de Vilar,10102030211,030211,28,45,71
Balugães,10102030212,030212,20,29,63
Barcelinhos,10102030213,030213,10,17,33
Barcelos,10102030214,030214,0,0,0
Barqueiros,10102030215,030215,52,101,142
Cambeses,10102030216,030216,34,48,72
Campo,10102030217,030217,23,38,101
Carapeços,10102030218,030218,35,57,98
Carreira,10102030219,030219,46,64,97
Carvalhal,10102030220,030220,21,28,57
Carvalhos,10102030221,030221,21,24,30
Chavão,10102030222,030222,25,38,63
Chorente,10102030223,030223,39,51,75
Cossourado,10102030224,030224,34,59,119
Courel,10102030225,030225,37,56,62
Couto,10102030226,030226,13,24,38
Creixomil,10102030227,030227,47,54,90
Cristelo,10102030228,030228,69,100,190
Durrães,10102030229,030229,6,26,80
Encourados,10102030230,030230,26,35,35
Faria,10102030231,030231,31,39,59
Feitos,10102030232,030232,7,14,55
Fonte Coberta,10102030233,030233,19,25,29
Fornelos,10102030234,030234,40,50,88
Fragoso,10102030235,030235,50,112,201
Gamil,10102030236,030236,14,25,63
Gilmonde,10102030237,030237,35,45,99
Góios,10102030238,030238,27,46,59
Grimancelos,10102030239,030239,19,30,47
Gueral,10102030240,030240,24,45,52
Igreja Nova,10102030241,030241,17,29,44
Lama,10102030242,030242,17,30,47
Lijó,10102030243,030243,57,68,112
Macieira de Rates,10102030244,030244,77,94,172
Manhente,10102030245,030245,19,28,37
Mariz,10102030246,030246,12,19,36
Martim,10102030247,030247,44,75,101
Midões,10102030248,030248,11,22,35
Milhazes,10102030249,030249,30,39,64
Minhotães,10102030250,030250,37,50,82
Monte de Fralães,10102030251,030251,9,11,18
Moure,10102030252,030252,32,33,51
Negreiros,10102030253,030253,57,67,125
Oliveira,10102030254,030254,32,52,100
Palme,10102030255,030255,40,64,138
Panque,10102030256,030256,41,67,131
Paradela,10102030257,030257,58,69,100
Pedra Furada,10102030258,030258,18,27,41
Pereira,10102030259,030259,23,31,77
Perelhal,10102030260,030260,43,64,121
Pousa,10102030261,030261,50,81,84
Quintiães,10102030262,030262,35,47,75
Remelhe,10102030263,030263,38,58,92
Roriz,10102030264,030264,69,109,173
Rio Covo (Santa Eugénia),10102030265,030265,21,26,35
Rio Covo (Santa Eulália),10102030266,030266,24,31,59
Tamel (Santa Leocádia),10102030267,030267,39,30,49
Galegos (Santa Maria),10102030268,030268,23,43,33
Bastuço (Santo Estêvão),10102030269,030269,20,29,41
Bastuço (São João),10102030270,030270,22,25,50
Alvito (São Martinho),10102030271,030271,13,13,31
Galegos (São Martinho),10102030272,030272,12,14,28
Vila Frescainha (São Martinho),10102030273,030273,20,27,66
Alvito (São Pedro),10102030274,030274,33,39,73
Vila Frescainha (São Pedro),10102030275,030275,16,24,47
Tamel (São Pedro Fins),10102030276,030276,14,26,42
Tamel (São Veríssimo),10102030277,030277,15,23,35
Sequeade,10102030278,030278,27,42,43
Silva,10102030279,030279,23,28,47
Silveiros,10102030280,030280,33,45,69
Tregosa,10102030281,030281,13,20,33
Ucha,10102030282,030282,30,61,69
Várzea,10102030283,030283,29,38,75
Viatodos,10102030284,030284,50,59,87
Vila Boa,10102030285,030285,13,17,30
Vila Cova,10102030286,030286,67,162,226
Vila Seca,10102030287,030287,49,104,144
Vilar de Figos,10102030288,030288,36,42,57
Vilar do Monte,10102030289,030289,20,30,49
Braga,101020303,020303,1115,1723,2390
Adaúfe,10102030301,030301,59,95,130
Arcos,10102030302,030302,10,20,27
Arentim,10102030303,030303,26,40,63
Aveleda,10102030304,030304,15,32,34
Cabreiros,10102030305,030305,29,29,57
Celeirós,10102030306,030306,7,21,36
Braga (Cividade),10102030307,030307,1,0,0
Crespos,10102030308,030308,44,50,71
Cunha,10102030309,030309,26,38,44
Dume,10102030310,030310,30,49,82
Escudeiros,10102030311,030311,23,34,40
Espinho,10102030312,030312,32,42,62
Esporões,10102030313,030313,29,44,70
Ferreiros,10102030314,030314,11,27,46
Figueiredo,10102030315,030315,10,24,30
Fraião,10102030316,030316,3,6,20
Frossos,10102030317,030317,10,18,27
Gondizalves,10102030318,030318,9,23,28
Gualtar,10102030319,030319,7,15,24
Guisande,10102030320,030320,5,12,18
Lamaçães,10102030321,030321,5,9,14
Lamas,10102030322,030322,13,22,23
Lomar,10102030323,030323,13,25,36
Braga (Maximinos),10102030324,030324,12,21,24
Mire de Tibães,10102030325,030325,35,62,103
Morreira,10102030326,030326,18,25,32
Navarra,10102030327,030327,14,17,24
Nogueira,10102030328,030328,15,28,31
Nogueiró,10102030329,030329,8,9,23
Padim da Graça,10102030330,030330,16,41,62
Palmeira,10102030331,030331,52,60,84
Panoias,10102030332,030332,15,26,42
Parada de Tibães,10102030333,030333,17,25,42
Pedralva,10102030334,030334,38,59,81
Pousada,10102030335,030335,29,44,61
Priscos,10102030336,030336,32,55,71
Real,10102030337,030337,6,7,16
Ruilhe,10102030338,030338,15,38,45
Santa Lucrécia de Algeriz,10102030339,030339,5,20,39
Penso (Santo Estêvão),10102030340,030340,14,23,17
Braga (São João do Souto),10102030341,030341,0,0,0
Braga (São José de São Lázaro),10102030342,030342,1,0,2
Passos (São Julião),10102030343,030343,26,35,32
Este (São Mamede),10102030344,030344,32,32,53
Merelim (São Paio),10102030345,030345,26,24,32
Este (São Pedro),10102030346,030346,16,17,38
Merelim (São Pedro),10102030347,030347,23,29,32
Oliveira (São Pedro),10102030348,030348,13,26,33
Braga (São Vicente),10102030349,030349,0,4,9
Penso (São Vicente),10102030350,030350,11,12,15
Braga (São Vítor),10102030351,030351,1,8,12
Braga (Sé),10102030352,030352,0,0,0
Semelhe,10102030353,030353,26,34,42
Sequeira,10102030354,030354,31,56,60
Sobreposta,10102030355,030355,40,46,61
Tadim,10102030356,030356,10,16,62
Tebosa,10102030357,030357,22,24,38
Tenões,10102030358,030358,9,14,15
Trandeiras,10102030359,030359,20,22,23
Vilaça,10102030360,030360,16,25,18
Vimieiro,10102030361,030361,17,34,34
Fradelos,10102030362,030362,17,30,0
Esposende,101020306,020306,731,1271,2284
Antas,10102030601,030601,39,96,136
Apúlia,10102030602,030602,168,225,492
Belinho,10102030603,030603,60,122,210
Curvos,10102030604,030604,19,30,88
Esposende,10102030605,030605,0,0,13
Fão,10102030606,030606,13,12,25
Fonte Boa,10102030607,030607,97,102,147
Forjães,10102030608,030608,26,88,250
Gandra,10102030609,030609,52,63,98
Gemeses,10102030610,030610,45,73,114
Mar,10102030611,030611,34,44,66
Marinhas,10102030612,030612,53,211,335
Palmeira de Faro,10102030613,030613,48,102,144
Rio Tinto,10102030614,030614,35,57,87
Vila Chã,10102030615,030615,42,46,79
Terras de Bouro,101020310,020310,443,725,1108
Balança,10102031001,031001,22,39,53
Brufe,10102031002,031002,10,12,20
Campo do Gerês,10102031003,031003,4,12,32
Carvalheira,10102031004,031004,29,50,85
Chamoim,10102031005,031005,37,58,65
Chorense,10102031006,031006,51,57,78
Cibões,10102031007,031007,32,85,112
Covide,10102031008,031008,25,47,68
Gondoriz,10102031009,031009,24,49,79
Moimenta,10102031010,031010,15,31,51
Monte,10102031011,031011,27,31,41
Ribeira,10102031012,031012,21,30,43
Rio Caldo,10102031013,031013,35,45,86
Souto,10102031014,031014,39,54,78
Valdosende,10102031015,031015,22,38,83
Vilar,10102031016,031016,15,31,44
Vilar da Veiga,10102031017,031017,35,56,90
Vila Verde,101020313,020313,1865,2673,3987
Aboim da Nóbrega,10102031301,031301,71,135,210
Arcozelo,10102031302,031302,21,29,53
Atães,10102031303,031303,32,43,74
Atiães,10102031304,031304,38,52,58
Azões,10102031305,031305,15,16,38
Barbudo,10102031306,031306,37,60,106
Barros,10102031307,031307,26,41,48
Cabanelas,10102031308,031308,43,50,73
Cervães,10102031309,031309,40,97,130
Codeceda,10102031310,031310,27,28,46
Coucieiro,10102031311,031311,47,48,56
Covas,10102031312,031312,28,46,79
Dossãos,10102031313,031313,30,62,69
Duas Igrejas,10102031314,031314,135,176,257
Esqueiros,10102031315,031315,9,15,26
Freiriz,10102031316,031316,54,67,120
Geme,10102031317,031317,19,25,46
Goães,10102031318,031318,36,61,86
Godinhaços,10102031319,031319,68,79,89
Gomide,10102031320,031320,26,41,50
Gondiães,10102031321,031321,20,29,49
Gondomar,10102031322,031322,19,23,23
Laje,10102031323,031323,40,63,107
Lanhas,10102031324,031324,25,30,32
Loureira,10102031325,031325,14,29,52
Marrancos,10102031326,031326,20,22,37
Mós,10102031327,031327,19,20,51
Moure,10102031328,031328,33,53,122
Nevogilde,10102031329,031329,17,33,43
Oleiros,10102031330,031330,26,26,54
Parada de Gatim,10102031331,031331,35,49,68
Passó,10102031332,031332,11,25,30
Pedregais,10102031333,031333,30,46,85
Penascais,10102031334,031334,33,39,40
Pico,10102031335,031335,39,53,72
Pico de Regalados,10102031336,031336,27,52,86
Ponte,10102031337,031337,19,27,34
Portela das Cabras,10102031338,031338,14,17,25
Rio Mau,10102031339,031339,38,68,97
Sabariz,10102031340,031340,8,16,21
Sande,10102031341,031341,44,57,64
Vila de Prado,10102031342,031342,51,55,126
Oriz (Santa Marinha),10102031343,031343,34,44,52
Carreiras (Santiago),10102031344,031344,34,36,43
Escariz (São Mamede),10102031345,031345,41,47,73
Escariz (São Martinho),10102031346,031346,15,25,37
Valbom (São Martinho),10102031347,031347,18,33,38
Carreiras (São Miguel),10102031348,031348,38,51,75
Oriz (São Miguel),10102031349,031349,19,31,43
Prado (São Miguel),10102031350,031350,52,63,119
Valbom (São Pedro),10102031351,031351,15,24,29
Soutelo,10102031352,031352,39,53,105
Travassós,10102031353,031353,22,25,30
Turiz,10102031354,031354,21,43,76
Valdreu,10102031355,031355,83,114,103
Valões,10102031356,031356,27,33,46
Vila Verde,10102031357,031357,12,26,58
Vilarinho,10102031358,031358,11,22,28
Ave,10103,10103,5796,9013,14224
Fafe,101030307,030307,1255,2017,2767
Aboim,10103030701,030701,35,61,91
Agrela,10103030702,030702,15,18,32
Antime,10103030703,030703,18,39,54
Ardegão,10103030704,030704,7,12,23
Armil,10103030705,030705,25,40,57
Arnozela,10103030706,030706,15,31,53
Cepães,10103030707,030707,27,33,63
Estorãos,10103030708,030708,51,98,104
Fafe,10103030709,030709,42,69,87
Fareja,10103030710,030710,26,33,52
Felgueiras,10103030711,030711,17,23,24
Fornelos,10103030712,030712,26,49,54
Freitas,10103030713,030713,28,45,108
Golães,10103030714,030714,53,57,98
Gontim,10103030715,030715,17,23,25
Medelo,10103030716,030716,8,22,33
Monte,10103030717,030717,40,55,69
Moreira do Rei,10103030718,030718,88,162,190
Passos,10103030719,030719,40,65,80
Pedraído,10103030720,030720,27,35,49
Queimadela,10103030721,030721,80,96,111
Quinchães,10103030722,030722,54,79,96
Regadas,10103030723,030723,42,65,95
Revelhe,10103030724,030724,55,72,84
Ribeiros,10103030725,030725,24,38,37
Arões (Santa Cristina),10103030726,030726,27,28,53
Silvares (São Clemente),10103030727,030727,9,22,25
São Gens,10103030728,030728,89,156,162
Silvares (São Martinho),10103030729,030729,29,44,68
Arões (São Romão),10103030730,030730,23,53,109
Seidões,10103030731,030731,31,48,55
Serafão,10103030732,030732,38,67,159
Travassós,10103030733,030733,57,126,160
Várzea Cova,10103030734,030734,37,55,81
Vila Cova,10103030735,030735,27,57,71
Vinhós,10103030736,030736,28,41,55
Guimarães,101030308,030308,1071,1764,3411
Aldão,10103030801,030801,12,17,32
Arosa,10103030802,030802,9,26,36
Atães,10103030803,030803,34,57,105
Azurém,10103030804,030804,9,14,28
Balazar,10103030805,030805,11,33,42
Barco,10103030806,030806,12,26,37
Brito,10103030807,030807,22,33,69
Caldelas,10103030808,030808,19,22,49
Calvos,10103030809,030809,7,15,32
Castelões,10103030810,030810,17,34,50
Conde,10103030811,030811,7,12,25
Costa,10103030812,030812,10,23,45
Creixomil,10103030813,030813,14,21,34
Donim,10103030814,030814,5,19,33
Fermentões,10103030815,030815,30,46,61
Figueiredo,10103030816,030816,7,15,32
Gandarela,10103030817,030817,7,15,23
Gémeos,10103030818,030818,9,30,49
Gominhães,10103030819,030819,19,24,44
Gonça,10103030820,030820,17,34,70
Gondar,10103030821,030821,9,9,17
Gondomar,10103030822,030822,8,14,51
Guardizela,10103030823,030823,16,28,40
Infantas,10103030824,030824,41,47,89
Infias,10103030825,030825,0,0,44
Leitões,10103030826,030826,20,25,40
Longos,10103030827,030827,26,52,77
Lordelo,10103030828,030828,13,26,50
Mascotelos,10103030829,030829,7,12,19
Mesão Frio,10103030830,030830,15,24,60
Moreira de Cónegos,10103030831,030831,7,27,70
Nespereira,10103030832,030832,5,23,46
Oleiros,10103030833,030833,16,24,23
Guimarães (Oliveira do Castelo),10103030834,030834,1,0,1
Pencelo,10103030835,030835,17,26,41
Pinheiro,10103030836,030836,11,20,40
Polvoreira,10103030837,030837,14,26,58
Ponte,10103030838,030838,37,57,112
Rendufe,10103030839,030839,31,35,66
Ronfe,10103030840,030840,23,32,59
Briteiros (Salvador),10103030841,030841,14,22,30
Prazins (Santa Eufémia),10103030842,030842,11,15,34
Briteiros (Santa Leocádia),10103030843,030843,23,34,56
Airão (Santa Maria),10103030844,030844,20,36,48
Souto (Santa Maria),10103030845,030845,12,22,51
Candoso (Santiago),10103030846,030846,16,15,23
Briteiros (Santo Estêvão),10103030847,030847,4,21,38
Prazins (Santo Tirso),10103030848,030848,14,19,35
Sande (São Clemente),10103030849,030849,28,40,54
Selho (São Cristóvão),10103030850,030850,6,10,28
São Faustino,10103030851,030851,18,51,79
Caldas de Vizela (São João),10103030852,030852,0,0,13
Airão (São João Baptista),10103030853,030853,9,18,25
Selho (São Jorge),10103030854,030854,20,27,44
Sande (São Lourenço),10103030855,030855,17,27,44
Selho (São Lourenço),10103030856,030856,21,21,30
Candoso (São Martinho),10103030857,030857,11,24,27
Sande (São Martinho),10103030858,030858,19,40,53
Caldas de Vizela (São Miguel),10103030859,030859,0,0,61
